method,config,instance,avg_best8,best8,worst8,std8
SA,"t0=300000;cool=0.995;tmin=8;iter=9",cap111_ss,1.18182e+06,1.17025e+06,1.19536e+06,8756.91
SA,"t0=300000;cool=0.995;tmin=8;iter=10",cap41_ss,1.56905e+06,1.56059e+06,1.57969e+06,6679.89
SA,"t0=300000;cool=0.995;tmin=8;iter=10",cap81_ss,1.19129e+06,1.18314e+06,1.20073e+06,5267.66
SA,"t0=300000;cool=0.995;tmin=8;iter=10",cap111_ss,1.18065e+06,1.17472e+06,1.18822e+06,4701.4
SA,"t0=300000;cool=0.995;tmin=8;iter=11",cap41_ss,1.56669e+06,1.55975e+06,1.57448e+06,4605.11
SA,"t0=300000;cool=0.995;tmin=8;iter=11",cap81_ss,1.18838e+06,1.18594e+06,1.19599e+06,3138.81
SA,"t0=300000;cool=0.995;tmin=8;iter=11",cap111_ss,1.1758e+06,1.16995e+06,1.18237e+06,3924.75
SA,"t0=300000;cool=0.996;tmin=8;iter=6",cap41_ss,1.57984e+06,1.55975e+06,1.64294e+06,25468.3
SA,"t0=300000;cool=0.996;tmin=8;iter=6",cap81_ss,1.18995e+06,1.18609e+06,1.19666e+06,3086.79
SA,"t0=300000;cool=0.996;tmin=8;iter=6",cap111_ss,1.18399e+06,1.17725e+06,1.18837e+06,3647.24
SA,"t0=300000;cool=0.996;tmin=8;iter=7",cap41_ss,1.56613e+06,1.55975e+06,1.57349e+06,4632.49
SA,"t0=300000;cool=0.996;tmin=8;iter=7",cap81_ss,1.19087e+06,1.18569e+06,1.19902e+06,4551.98
SA,"t0=300000;cool=0.996;tmin=8;iter=7",cap111_ss,1.17677e+06,1.16707e+06,1.19098e+06,8129.1
SA,"t0=300000;cool=0.996;tmin=8;iter=8",cap41_ss,1.5671e+06,1.56185e+06,1.58954e+06,8669.33
SA,"t0=300000;cool=0.996;tmin=8;iter=8",cap81_ss,1.18736e+06,1.185e+06,1.19028e+06,1902.75
SA,"t0=300000;cool=0.996;tmin=8;iter=8",cap111_ss,1.17973e+06,1.16795e+06,1.18967e+06,6867.78
SA,"t0=300000;cool=0.996;tmin=8;iter=9",cap41_ss,1.56545e+06,1.55975e+06,1.57437e+06,4403.83
SA,"t0=300000;cool=0.996;tmin=8;iter=9",cap81_ss,1.18929e+06,1.18341e+06,1.19562e+06,4236.65
SA,"t0=300000;cool=0.996;tmin=8;iter=9",cap111_ss,1.18105e+06,1.17215e+06,1.19135e+06,6648.84
